port_name,latitude,longitude
Port of Lazaro Cardenas,17.95,-102.183333333333
Port of Manzanillo,19.05,-104.3
Port of Mazatlan,23.4,-106.4
Port of Paraiso,18.1833333333333,-92.2
Port of Puerto Madero,14.7166666666667,-92.4166666666667
Port of Puerto Morelos,20.8333333333333,-86.8666666666667
Port of Tampico,22.25,-97.8666666666667
Port of Tuxpan,20.95,-97.4
Port of Veracruz,19.2,-96.0833333333333
Port of Penang (Georgetown),5.41666666666667,100.316666666667
Port of Port Klang (Pelabuhan Klang),3.0,101.4
Port of Tanjung Pelepas,1.36666666666667,103.55
Port of Luderitz,-26.65,15.1666666666667
Port of Noumea,-22.2666666666667,166.45
Port of Noumea,-22.2666666666667,166.45
Port of Lekki,6.45,3.1
Port of Onne,4.71666666666667,7.15
Port of Rama,12.15,-84.2166666666667
Port of Amsterdam,52.4,4.81666666666667
Port of Botlek,51.8833333333333,4.28333333333333
Port of IJmuiden/Velsen,52.4666666666667,4.6
Port of Moerdijk,51.6833333333333,4.56666666666667
Port of Rotterdam,51.9166666666667,4.5
Port of Terneuzen,51.4666666666667,3.81666666666667
Port of Vlissingen,51.45,3.7
Port of Alesund,62.4666666666667,6.15
Port of Ardalstangen,61.2333333333333,7.7
Port of Averoy,63.05,7.66666666666667
Port of Bergen,60.3833333333333,5.31666666666667
Port of Bodo,67.2833333333333,14.3666666666667
Port of Brevik,59.05,9.7
Port of Drammen,59.7333333333333,10.2333333333333
Port of Egersund,58.45,6.0
Port of Floro,61.6,5.01666666666667
Port of Fredrikstad,59.2,10.9166666666667
Port of Fusa,60.2,5.61666666666667
Port of Glomfjord,66.8,13.9333333333333
Port of Hammerfest,70.65,23.6666666666667
Port of Harstad,68.7833333333333,16.5333333333333
Port of Haugesund,59.4,5.25
Port of Havik,59.3,5.31666666666667
Port of Holla,59.6,9.18333333333333
Port of Hoyanger,61.2166666666667,6.05
Port of Husoy - Tonsberg,59.2333333333333,10.45
Port of Ikornnes,62.3833333333333,6.55
Port of Kristiansand,58.1333333333333,7.98333333333333
Port of Larvik,59.0333333333333,10.0166666666667
Port of Maloy,61.9333333333333,5.1
Port of Molde,62.7333333333333,7.15
Port of Mosjoen,65.8333333333333,13.2
Port of Moss,59.4166666666667,10.65
Port of Odda,60.0666666666667,6.53333333333333
Port of Orkanger,63.3166666666667,9.83333333333333
Port of Oslo,59.9,10.7333333333333
Port of Salten,67.3666666666667,15.5833333333333
Port of Stavanger,58.9666666666667,5.75
Port of Stokmarknes,68.5666666666667,14.9
Port of Sunndalsora,62.6666666666667,8.55
Port of Svelgen,61.7666666666667,5.28333333333333
Port of Svolvar,68.2166666666667,14.55
Port of Tananger,58.9166666666667,5.58333333333333
Port of Tromso,69.6666666666667,18.9666666666667
Port of Trondheim,63.4333333333333,10.4
Port of Nauru Island,-0.55,166.916666666667
Port of Auckland,-36.8333333333333,174.8
Port of Bluff,-46.6,168.316666666667
Port of Lyttelton,-43.6,172.716666666667
Port of Marsden Point,-35.8333333333333,174.5
Port of Napier,-39.4666666666667,176.9
Port of Nelson,-41.25,173.266666666667
Port of Port Chalmers,-45.8166666666667,170.6
Port of Tauranga,-37.6833333333333,176.166666666667
Port of Timaru,-44.3833333333333,171.25
Port of Wellington,-41.2666666666667,174.783333333333
Port of Colon,9.35,-79.8666666666667
Port of Cristobal,9.35,-79.9
Port of Panama,8.96666666666667,-79.5333333333333
